Lon	I-H-1127	I-H-1138	I-P-1140	O-H-1124	O-P-1128	O-H-1136
313.68	35.527	23.582	20.725	532.363	34.385	386.538
313.85	29.132	16.813	17.89	532.055	33.461	383.868
314.01	32.47	21.228	19.206	540.47	38.053	389.503
314.18	25.289	13.322	14.399	534.806	32.256	385.124
314.35	33.388	21.003	23.817	547.454	37.564	394.509
314.51	25.11	13.67	16.285	541.967	30.538	388.285
314.68	26.926	23.157	22.497	545.871	35.058	393.146
314.84	28.259	23.721	22.995	542.215	32.94	391.611
315.01	33.151	26.568	23.711	540.667	33.678	391.282
315.17	31.647	23.768	20.537	532.46	29.867	387.219
315.34	37.139	32.535	23.875	539.425	37.007	389.381
315.51	34.051	27.93	19.161	535.744	35.084	386.458
315.67	40.578	32.852	28.193	550.248	39.303	397.435
315.84	41.91	28.844	25.569	565.229	36.393	409.657
316	39.387	29.551	23.969	590.024	38.595	425.299
316.17	35.761	26.124	22.278	616.662	37.893	444.739
316.34	35.537	28.163	26.229	652.108	41.603	470.196
316.5	32.799	19.733	24.942	675.854	36.074	492.238
316.67	31.948	17.893	25.014	699.113	36.212	506.74
316.83	32.416	18.251	22.449	711.735	33.625	517.394
317	34.105	21.017	22.38	722.545	35.643	521.731
317.17	34.203	17.049	17.774	718.401	32.818	518.873
317.33	36.484	21.594	22.253	713.934	34.506	515.846
317.5	38.83	20.094	21.039	701.446	31.424	511.457
317.66	37.844	22.558	18.074	697.8	33.492	504.855
317.83	41.963	25.952	21.27	698.82	35.787	508.655
317.99	42.229	27.602	24.042	706.668	41.437	515.745
318.16	37.605	20.847	21.484	707.429	38.33	517.22
318.33	41.013	24.496	25.551	724.046	42.156	529.782
318.49	40.094	22.149	20.281	734.709	36.731	536.325
318.66	37.73	22.752	21.697	748.236	38.697	540.653
318.82	36.796	21.532	23.84	754.444	38.884	544.982
318.99	34.611	22.93	24.556	769.161	37.952	554.502
319.15	36.281	22.687	24.292	786.413	38.413	567.237
319.32	38.525	28.558	28.953	812.239	40.283	586.459
319.49	36.532	28.301	29.598	829.653	41.257	599.18
319.65	41.322	28.717	32.893	856.311	48.926	619.585
319.82	44.933	25.625	30.175	877.746	47.68	632.461
319.98	49.185	33.944	35.174	902.24	55.515	653.999
320.15	45.874	30.039	32.083	903.478	53.281	654.412
320.31	46.702	30.889	33.526	904.768	51.713	653.581
320.48	47.116	29.611	33.72	896.105	56.193	647.874
320.65	49.205	31.634	37.26	892.37	55.711	645.799
320.81	43.384	30.758	35.791	883.582	50.439	634.648
320.98	39.463	34.551	37.232	880.21	50.716	633.77
321.14	37.141	26.624	30.954	870.613	41.822	626.339
321.31	42.388	35.234	37.3	884.498	47.795	635.861
321.47	37.853	31.381	33.161	879.106	45.788	633.249
321.64	34.077	31.538	29.209	879.176	41.066	630.055
321.81	36.353	35.506	31.309	872.419	41.605	627.616
321.97	36.877	36.844	33.591	868.745	42.02	626.613
322.14	38.137	35.401	32.214	862.819	40.665	620.126
322.3	36.025	34.321	31.992	858.882	41.607	612.266
322.47	30.955	30.592	25.34	846.01	35.68	604.505
322.63	31.76	30.76	25.573	858.002	37.826	608.134
322.8	37.155	31.605	26.88	871.506	41.88	621.122
322.97	30.438	26.493	20.427	888.943	39.273	632.921
323.13	29.621	20.511	16.314	904.764	36.457	645.017
323.3	35.095	26.227	21.699	939.754	42.436	672.567
323.46	39.681	28.066	25.231	972.319	42.033	695.78
323.63	38.116	22.918	24.809	1003.303	41.765	714.358
323.79	36.958	25.562	25.408	1023.749	44.013	732.354
323.96	34.058	23.124	24.267	1043.948	39.904	742.959
324.12	40.213	26.312	31.389	1064.894	46.96	757.719
324.29	46.64	35.969	38.65	1090.596	53.848	776.596
324.46	38.695	24.794	31.278	1101.486	48.651	783.19
324.62	34.894	23.872	28.443	1125.839	49.267	801.069
324.79	34.451	21.033	26.154	1154.165	50.956	825.934
324.95	35.95	19.653	24.005	1193.532	46.895	852.895
325.12	41.553	25.63	29.916	1243.948	52.476	890.531
325.28	43.666	31.501	30.139	1295.315	54.216	930.765
325.45	39.68	29.911	28.79	1335.174	53.328	961.361
325.61	47.858	41.935	36.221	1380.693	58.891	999.352
325.78	44.812	41.504	34.273	1401.889	57.053	1018.185
325.95	49.561	47.462	42.012	1430.308	57.605	1033.363
326.11	57.633	52.919	50.567	1447.15	62.315	1047.886
326.28	53.168	50.893	48.607	1449.08	57.344	1046.64
326.44	53.023	46.946	49.825	1454.451	56.737	1046.572
326.61	51.871	45.508	46.256	1453.453	53.146	1041.739
326.77	48.563	41.123	38.948	1436.189	44.717	1026.156
326.94	54.464	46.475	43.75	1441.101	51.431	1031.849
327.1	60.089	50.232	46.078	1432.111	55.232	1032.275
327.27	51.46	45.449	39.471	1417.658	49.614	1019.438
327.43	55.851	52.28	45.269	1414.159	57.324	1022.631
327.6	53.703	52.088	43.428	1402.846	52.252	1015.22
327.77	58.604	53.231	47.802	1405.835	56.165	1022.528
327.93	63.08	56.19	52.674	1426.157	63.3	1033.96
328.1	57.588	47.203	46.874	1436.555	56.379	1038.038
328.26	53.46	41.954	39.449	1461.24	53.372	1055.548
328.43	55.945	42.703	40.615	1500.407	53.11	1085.539
328.59	52.786	37.676	35.654	1545.534	46.764	1117.687
328.76	52.267	36.871	35.179	1599.453	44.86	1155.838
328.92	52.868	41.187	37.89	1654.89	45	1191.879
329.09	47.918	38.5	39.225	1689.083	44.467	1220.544
