Lon	I-H-1043	I-H-1048	I-P-1116	O-H-1040	O-H-1046	O-P-1113	I-H-1114
306.87	28.209	23.781	69.132	272.781	298.385	78.616	61.308
307.04	33.933	25.658	69.702	285.823	307.581	85.625	68.702
307.2	34.715	23.429	67.198	290.056	312.759	78.22	62.363
307.37	33.763	25.927	69.004	295.587	323.807	76.752	64.356
307.54	30.08	25.124	69.113	299.091	327.992	72.003	61.465
307.7	28.418	25.594	66.341	302.242	330.55	76.77	62.88
307.87	33.22	26.198	72.253	308.121	338.033	79.539	66.407
308.04	36.168	24.245	70.355	312.366	342.256	81.662	68.827
308.2	33.642	21.081	69.642	310.433	343.29	77.147	64.411
308.37	37.764	27.38	73.226	314.05	347.061	84.226	73.764
308.53	35.81	20.568	69.92	312.162	341.678	78.656	68.426
308.7	34.526	18.339	67.702	310.592	340.438	79.185	68.768
308.87	33.609	17.752	65.521	306.576	339.477	72.191	61.697
309.03	31.833	19.075	59.954	310.316	341.173	70.646	61.855
309.2	29.073	17.655	57.732	313.073	344.26	64.139	54.084
309.36	29.011	20.384	58.582	321.472	355.406	66.022	56.747
309.53	28.248	18.676	59.325	332.248	368.973	62.434	53.478
309.7	30.273	21.251	62.745	352.669	394.471	70.009	61.306
309.86	33.547	27.008	67.173	375.217	424.25	74.634	64.931
310.03	37.707	30.355	70.135	401.772	455.135	81.75	71.904
310.2	30.641	24.674	66.289	416.443	479.058	71.025	65.014
310.36	32.682	29.418	72.232	440.924	507.429	80.638	70.88
310.53	28.895	28.51	69.862	454.697	525.268	74.862	66.213
310.69	25.129	27.008	68.195	467.745	536.887	77.481	65.525
310.86	24.62	26.916	66.862	470.642	541.96	68.125	60.62
311.03	21.919	23.798	60.282	475.744	544.051	65.084	58.623
311.19	20.607	19.959	59.288	476.387	545.156	58.31	52.607
311.36	25.869	26.65	65.463	484.836	550.683	69.825	57.474
311.52	24.168	23.916	62.102	484.036	548.894	62.927	55.069
311.69	27.878	23.603	64.966	492.867	559.153	65.856	57.944
311.86	28.823	20.614	66.054	500.823	568.669	63.669	56.427
312.02	28.089	18.847	62.496	511.803	576.682	68.309	57.891
312.19	30.763	20.18	69.312	521.092	590.653	68.642	58.147
312.35	29.368	20.962	71.335	536.203	606.753	74.731	62.863
312.52	29.544	19.401	70.159	545.148	616.423	69.841	61.808
312.69	29.835	20.901	73.253	560.846	636.011	75.286	69.132
312.85	29.35	19.339	68.031	569.658	644.581	75.888	65.789
313.02	33.132	26.879	70.439	585.681	661.417	80.341	70.978
313.18	32.76	27.804	72.892	591.53	669.222	78.024	68.76
313.35	30.324	28.159	69.961	599.796	672.368	80.565	70.895
313.52	28.593	27.242	68.637	602.352	669.758	74.78	69.165
313.68	24.956	23.978	65.429	610.121	676.363	78.758	71.11
313.85	24.626	19.099	61.374	610.78	677.659	71.78	63.088
314.01	27.217	20.525	68.437	618.8	686.272	78.426	67.745
314.18	23.509	14.553	65.003	617.97	686.74	69.784	61.003
314.35	25.762	20.036	69.926	630.047	699.937	78.641	64.839
314.51	22.89	12.791	64.78	632.296	698.428	67.406	54.934
314.68	23.212	11.816	62.409	636.42	705.168	69.146	57.717
314.84	29.204	12.863	63.138	629.072	706.237	64.182	55.314
315.01	29.964	18.304	65.381	628.799	701.019	70.14	58.184
315.17	27.581	16.691	61.691	622.702	693.317	62.867	55.801
315.34	31.666	19.348	64.007	620.304	692.831	71.666	60.809
315.51	31.304	18.568	59.875	619.216	690.051	63.908	58.425
315.67	34.182	22.039	62.874	630.512	708.446	72.072	64.6
315.84	32.525	23.613	65.58	647.734	729.426	71.811	60.393
316	25.65	23.485	64.804	677.716	755.606	73.123	59.76
316.17	23.739	20.278	64.267	709.761	796.157	69.311	58.596
316.34	23.69	25.877	67.592	745.339	839.097	73.625	58.152
316.5	20.909	25.535	67.942	780.249	876.096	68.195	54.491
316.67	19.135	20.619	66.948	807.509	908.784	69.553	54.608
316.83	17.361	19.922	69.449	820.262	924.24	64.867	51.075
317	22.171	19.962	70.424	826.545	930.896	68.457	52.457
317.17	23.675	18.675	70.225	819.939	928.357	66.653	51.631
317.33	27.407	19.879	66.605	811.297	917.319	69.78	54.704
317.5	25.885	17.325	66.017	799.511	905.468	66.49	58.632
317.66	25.25	17.151	62.734	795.074	898.503	69.426	60.195
317.83	26.732	20.545	68.051	793.545	897.699	73.666	63.391
317.99	32.009	25.141	70.064	805.174	907.284	78.426	69.679
318.16	27.825	24.144	67.385	815.737	916.374	73.045	65.803
318.33	28.639	28.848	70.87	834.376	935.518	77.167	69.431
318.49	25.259	27.819	73.083	847.457	951.259	73.555	65.61
318.66	27.686	25.566	72.599	866.39	966.258	80.082	66.983
318.82	25.565	27.202	74.268	878.796	978.158	75.971	66.048
318.99	24.304	25.611	72.996	898.611	997.513	76.48	65.754
