Lon	O-H-1153	O-P-1159	I-P-1205	I-H-1158	I-H-1204
304.55	117.819	15.775	-2.741	5.215	9.347
304.71	126.115	24.654	5.72	7.115	13.137
304.88	133.361	28.416	11.482	10.603	17.811
305.04	133.018	27.117	8.71	11.82	15.205
305.21	126.22	21.055	5	8.78	11.594
305.38	134.911	27.032	9.504	13.889	15.295
305.54	134.586	21.772	6.553	10.948	12.926
305.71	140.142	27.032	9.197	14.109	17.23
305.88	142.834	20.614	4.867	13.263	11.46
306.04	145.024	18.507	-0.91	10.156	8.486
306.21	149.074	15.206	0.822	8.382	11.767
306.37	160.327	20.008	4.986	12.579	12.404
306.54	164.475	17.772	4.881	15.914	11.519
306.71	173.6	18.073	3.842	17.282	12.534
306.87	179.418	15.967	4.132	14.946	10.682
307.04	188.493	21.537	8.01	17.713	15.779
307.2	188.869	17.77	5.363	14.814	12.264
307.37	194.916	21.675	7.532	16.224	13.323
307.54	198.74	19.465	7.322	14.839	17.3
307.7	204.121	21.517	7.682	11.451	16.77
307.87	207.374	26.385	14.154	17.934	22.33
308.04	204.882	26.234	13.453	17.486	19.377
308.2	201.334	18.807	10.356	15.103	18.752
308.37	204.984	26.599	15.226	17.896	22.907
308.53	200.689	19.217	9.14	13.491	16.788
308.7	195.592	17.515	5.086	8.987	13.822
308.87	189.917	12.4	3.642	6.411	10.103
309.03	188.943	11.437	-2.002	2.206	9.195
309.2	190.831	7.82	-6.301	-0.498	8.073
309.36	197.285	11.956	-4.737	0.307	5.582
309.53	208.16	9.237	-3.741	1.489	5.489
309.7	222.152	16.866	-0.09	4.603	9.526
309.86	244.711	23.195	4.283	12.063	13.03
310.03	268.135	27.992	8.882	15.641	18.586
310.2	282.201	22.267	5.948	7.926	12.498
310.36	303.023	28.243	9.836	14.836	16.77
310.53	312.719	26.587	7.543	12.554	13.433
310.69	319.734	24.953	4.393	7.854	15.019
310.86	325.411	20.905	4.543	6.389	14.169
311.03	325.886	14.491	1.139	-1.421	8.249
311.19	320.827	14.431	-1.184	-0.877	5.761
311.36	325.221	22.221	5.265	9.034	9.65
311.52	324.476	17.729	4.047	3.08	5.19
311.69	331.801	16.757	3.625	4.142	9.636
311.86	334.801	16.317	1.054	6.812	8.746
312.02	341.902	15.474	-2.537	8.66	4.265
312.19	350.763	20.279	5.279	15.828	7.301
312.35	367.094	24.05	5.423	18.116	10.643
312.52	375.742	19.94	3.138	12.456	12.984
312.69	385.319	19.55	5.715	15.242	16.956
312.85	389.482	18.427	5.229	14.504	15.559
313.02	403.604	26.275	11.341	17.747	17.659
313.18	406.65	25.354	11.101	14.749	18.881
313.35	407.829	24.565	6.071	9.137	19.247
313.52	403.451	20.132	4.692	6.055	12.604
313.68	404.044	16.78	1.846	6.67	9.176
313.85	399.176	14.802	-4.11	0.286	6
314.01	405.734	17.415	-2.706	-0.563	11.349
314.18	398.718	8.014	-6.019	-5.667	5.85
314.35	408.278	11.608	-0.557	-1.403	9.806
314.51	401.615	3.483	-6.638	-3.165	1.89
314.68	406.343	1.673	-6.492	-4.217	5.277
314.84	405.863	1.841	-5.906	-5.159	6.094
315.01	407.777	6.052	-4.091	0.074	7.942
315.17	399.581	6.372	-5.858	4.164	3.68
