Lon	O-P-1210	O-H-1209	I-P-1220	I-H-1212	I-P-1213	I-H-1219
305.04	131.403	133.161	10.403	16.073	20.337	11.809
305.21	128.747	132.44	5.736	8.044	14.747	2.407
305.38	130.526	133.164	11.68	14.845	15.065	5.131
305.54	128.981	129.245	7.553	9.553	11.772	1.542
305.71	136.417	132.373	13.483	13.878	15.373	3.241
305.88	137.449	134.856	8.416	9.977	11.098	-2.605
306.04	135.145	137.255	6.145	9.529	7.376	-5.46
306.21	141.58	146.679	5.734	8.525	10.481	-2.255
306.37	153.393	157.173	12.261	14.81	12.129	4.437
306.54	160.409	172.629	13.969	16.936	15.684	5.761
306.71	167.018	179.633	15.996	20.26	19.029	8.435
306.87	171.484	186.913	12.957	17.11	17.792	8
307.04	181.295	196.24	18.141	22.361	21.746	17.658
307.2	185.418	197.462	16.561	19.396	18.715	14.814
307.37	190.224	199.323	19.246	23.026	17.136	11.993
307.54	191.861	205.267	16.014	22.322	22.212	10.663
307.7	195.033	205.407	11.396	19.836	23.352	7.352
307.87	201.462	217.769	17	21.813	26.627	11.165
308.04	197.245	215.926	18.926	24.377	23.541	12.289
308.2	195.774	212.697	20.499	19.686	24.191	5.609
308.37	203.413	216.292	22.676	21.094	26.764	12.523
308.53	198.426	215.744	18.975	13.986	24.47	9.755
308.7	194.855	207.954	17.328	11.394	20.185	9.592
308.87	190.026	202.466	14.092	6.422	15.455	6.103
309.03	190.712	200.382	11.47	5.14	11.91	3.075
309.2	193.183	203.908	7.842	0.392	8.721	-0.718
309.36	198.131	213.648	3.901	2.934	5.879	-2.693
309.53	203.654	228.973	2.094	2.336	6.182	-3.214
309.7	219.306	244.229	2.702	7.537	9.559	3.932
309.86	241.832	270.404	8.975	12.118	15.656	8.678
310.03	268.366	295.838	15.102	19.146	17.3	15.717
310.2	279.718	312.333	10.289	13.784	12.795	9.773
310.36	301.759	332.748	16.012	20.583	17.023	15.924
310.53	311.73	343.422	15.576	17.092	16.939	16.29
310.69	318.997	347.964	16.81	14.832	14.613	12.547
310.86	324.158	354.312	18.07	12.29	13.367	9.07
311.03	321.414	348.886	12.414	7.007	7.007	3.491
311.19	316.673	347.486	8.211	3.09	7.2	-0.657
311.36	321.584	353.1	13.595	10.43	11.968	6.562
311.52	319.575	356.674	10.322	3.443	11.333	0.267
311.69	324.296	360.603	10.68	5.889	11.735	-1.144
311.86	331.306	369.636	9.746	3.57	13.35	1.317
312.02	337.65	376.199	8.298	2.012	12.474	-3.878
312.19	348.279	390.565	14.323	9.07	17.048	0.356
312.35	358.709	401.039	21.094	14.456	20.258	4.039
312.52	366.665	408.643	17.808	10.094	20.621	-0.511
312.69	373.769	415.528	20.901	16.418	19.055	3.319
312.85	380.932	424.844	22.009	15.042	18.537	3.91
313.02	393.198	432.758	27.45	24.154	22.439	7.67
313.18	395.464	436.343	27.705	22.628	23.178	9.606
313.35	398.302	439.445	24.203	19.719	19.5	10.357
313.52	396.923	441.407	18.528	12.484	15.011	5.703
313.68	401.681	441.286	18.483	13.56	12.637	8.022
313.85	402.714	442.406	14.077	7.461	13.022	4.022
314.01	407.195	445.174	15.075	10.635	13.141	8.657
314.18	404.674	445.905	8.08	4.894	6.894	4.487
314.35	415.454	455.498	12.871	12.256	9.135	7.465
314.51	412.978	452.494	7.505	2.516	3.505	-2.022
314.68	415.893	451.541	7.552	5.794	6.102	2.409
314.84	411.336	449.841	6.127	3.424	5.292	-0.675
315.01	407.656	446.689	8.59	6.744	4.019	2.173
