Date,Ozono
20200406,269.63
20200407,281.1
20200408,269.63
20200409,268.01
20200410,267.99
20200411,254.26
20200412,253.3
20200413,255.82
20200414,265.97
20200415,269.63
20200416,263.97
20200417,269.13
20200418,276.92
20200419,271.77
20200420,265.72
20200421,267.9
20200422,269.63
20200423,269.65
20200424,269.63
20200425,269.25
20200426,273.28
20200427,276.61
20200428,276.41
20200429,276.49
20200430,286.81
20200501,275.47
20200502,287.1
20200503,278.35
20200504,274.74
20200505,278.69
20200506,285.55
20200507,284.63
20200508,275.47
20200509,289.46
20200510,275.47
20200511,271.04
20200512,272.55
20200513,266.37
20200514,265.68
20200515,262.09
20200516,269.24
20200517,275.47
20200518,264.1
20200519,266.72
20200520,266.34
20200521,278.61
20200522,272.54
20200523,275.57
20200524,275.47
20200525,279.78
20200526,275.47
20200527,272.61
20200528,280.99
20200529,288.4
20200530,276.26
20200531,268.0
20200601,260.49
20200602,273.26
20200603,270.59
20200604,271.7
20200605,266.74
20200606,280.17
20200607,273.22
20200608,282.44
20200609,273.26
20200610,267.68
20200611,273.26
20200612,273.6
20200613,281.66
20200614,280.49
20200615,274.52
20200616,270.75
20200617,276.09
20200618,273.26
20200619,272.68
20200620,282.54
20200621,271.46
20200622,263.5
20200623,272.45
20200624,276.94
20200625,273.26
20200626,275.14
20200627,273.26
20200628,270.22
20200629,274.1
20200630,274.38
20200701,272.45
20200702,271.08
20200703,278.71
20200704,277.75
20200705,277.16
20200706,287.43
20200707,273.83
20200708,277.28
20200709,283.84
20200710,274.74
20200711,277.75
20200712,285.31
20200713,277.75
20200714,268.81
20200715,270.5
20200716,274.16
20200717,286.21
20200718,277.23
20200719,271.15
20200720,277.75
20200721,273.23
20200722,291.34
20200723,277.63
20200724,282.92
20200725,281.16
20200726,274.75
20200727,277.75
20200728,274.57
20200729,277.75
20200730,272.63
20200731,288.97
20200801,282.83
20200802,294.13
20200803,276.36
20200804,271.69
20200805,271.65
20200806,273.46
20200807,280.2
20200808,261.76
20200809,259.96
20200810,264.42
20200811,277.13
20200812,271.65
20200813,273.15
20200814,271.65
20200815,281.26
20200816,280.6
20200817,272.43
20200818,275.28
20200819,262.31
20200820,257.4
20200821,271.65
20200822,262.44
20200823,268.05
20200824,258.47
20200825,258.06
20200826,268.0
20200827,271.61
20200828,271.65
20200829,272.14
20200830,271.65
20200831,270.77
20200901,276.08
20200902,271.81
20200903,267.36
20200904,258.01
20200905,247.84
20200906,266.76
20200907,262.6
20200908,269.18
20200909,262.86
20200910,264.26
20200911,270.16
20200912,275.51
20200913,266.76
20200914,280.2
20200915,266.76
20200916,254.79
20200917,272.4
20200918,264.72
20200919,281.47
20200920,269.5
20200921,270.37
20200922,266.76
20200923,266.27
20200924,275.38
20200925,259.41
20200926,260.09
20200927,258.56
20200928,263.15
20200929,266.76
20200930,262.91
20201001,261.76
20201002,258.59
20201003,259.67
20201004,264.82
20201005,259.92
20201006,257.95
20201007,261.59
20201008,261.76
20201009,257.1
20201010,268.37
20201011,271.87
20201012,268.74
20201013,265.71
20201014,259.01
20201015,261.76
20201016,275.49
20201017,261.76
20201018,260.95
20201019,259.98
20201020,259.83
20201021,262.51
20201022,259.97
20201023,256.84
20201024,261.76
20201025,257.56
20201026,260.28
20201027,259.29
20201028,256.72
20201029,262.99
20201030,257.17
20201031,261.76
20201101,248.72
20201102,252.46
20201103,243.81
20201104,244.33
20201105,241.51
20201106,239.28
20201107,244.34
20201108,246.94
20201109,252.46
20201110,255.71
20201111,254.79
20201112,258.78
20201113,255.38
20201114,257.65
20201115,259.63
20201116,252.46
20201117,259.1
20201118,252.46
20201119,256.31
20201120,253.02
20201121,254.86
20201122,252.52
20201123,253.46
20201124,256.2
20201125,252.46
20201126,248.99
20201127,250.52
20201128,254.05
20201129,256.06
20201130,265.61
20201201,259.67
20201202,255.29
20201203,258.71
20201204,255.29
20201205,254.54
20201206,263.27
20201207,264.18
20201208,262.01
20201209,267.43
20201210,263.45
20201211,255.29
20201212,255.61
20201213,255.29
20201214,255.04
20201215,249.74
20201216,252.29
20201217,254.36
20201218,255.29
20201219,249.44
20201220,255.29
20201221,249.26
20201222,249.06
20201223,250.62
20201224,250.94
20201225,255.29
20201226,253.1
20201227,255.29
20201228,252.66
20201229,255.29
20201230,235.48
